GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06039","Madera, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3469,3776,4044,4705,5682,6263,6344,7072,7667,7963,9969,10620,9908,9928,9780,10688,11054,11982,13279,13868,14411,14930,14936,16105,16004,15830,15820,16678,17435,17688,18349,18925,20185,21331,22088,23714,24205,24999,26929,26549,25554,28065,29466,31094,32177,34025,34609,36157,37000,37570,39388,44072,45757
 "06041","Marin, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1233473,1319908,1421836,1581155,1728807,1889287,2109152,2349280,2589028,2959686,3370252,3940435,4463347,4812780,5230185,5681017,6023344,6329703,6592641,7204904,7604056,7962427,8397207,9045108,9547840,10116017,10842938,11658332,12745226,14377818,15595549,17335698,18273264,17484986,17579779,18756083,19776468,21445592,22090030,22356476,20500980,21118422,22911572,24675688,25242258,27406790,29461836,30540371,31888715,34307678,36799402,38852617,42704366
 "06041","Marin, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",203506,208245,207014,207699,215802,211584,216965,220963,223289,223558,222870,222944,223911,223426,223972,223232,222459,224013,224938,226013,229176,230522,233443,235820,238040,239032,239195,238705,241797,244706,246269,247520,247866,246225,245054,243769,244206,244580,246248,248398,250862,253009,255904,257034,259824,262227,263233,263413,263092,263646,263057,261776,260206
 "06041","Marin, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6061,6338,6868,7613,8011,8929,9721,10632,11595,13239,15122,17675,19934,21541,23352,25449,27076,28256,29309,31878,33180,34541,35971,38356,40110,42321,45331,48840,52710,58755,63327,70038,73722,71012,71738,76942,80983,87683,89706,90003,81722,83469,89532,96002,97151,104516,111923,115941,121207,130128,139891,148419,164118
 "06043","Mariposa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25707,29031,31878,35544,39383,46482,55173,59895,66057,79460,88046,105558,114269,121546,143069,152977,167179,179311,183575,202343,222889,247812,256938,274860,283318,290182,302290,318872,331549,354173,370918,386396,416443,432756,457176,508876,534793,573761,610341,630505,627629,660771,669454,677385,688793,731475,776433,828240,863330,893363,928785,992569,1051845
 "06043","Mariposa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",5868,6139,6623,6832,7418,7877,8296,8683,9195,9685,10626,11201,11555,11798,11980,12310,12654,12873,13130,13514,13907,14446,15061,15565,15901,16171,16427,16784,16640,17053,16966,17101,17099,17243,17707,17844,17972,18219,18366,18412,18212,18301,18193,17903,17826,17728,17631,17473,17432,17328,17081,17124,17147
 "06043","Mariposa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4381,4729,4813,5203,5309,5901,6651,6898,7184,8204,8286,9424,9889,10302,11942,12427,13212,13929,13981,14973,16027,17154,17060,17659,17818,17945,18402,18999,19925,20769,21862,22595,24355,25097,25819,28518,29757,31492,33232,34244,34462,36106,36797,37836,38640,41261,44038,47401,49526,51556,54375,57964,61343
 "06045","Mendocino, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",185554,201134,211290,245217,279573,310625,342687,397582,449272,523367,591579,654786,709835,738341,801612,878076,935329,1002052,1068128,1142146,1275610,1334531,1368913,1439345,1504470,1577844,1636710,1774193,1898984,1965959,2070246,2191058,2426096,2477250,2543211,2619444,2638208,2799262,2948893,3027066,3032315,3281662,3331469,3329086,3399765,3640316,3806708,3903987,4045846,4192747,4403781,4849671,5117411
 "06045","Mendocino, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",49733,51267,52008,52517,55063,56524,57243,58926,61122,62985,65018,67093,68385,69726,70700,71811,73390,74293,75320,76493,78444,80859,81729,81978,82126,82427,83277,83887,84370,85062,85665,86407,86841,87364,88140,88030,87981,87345,87071,87468,87722,87922,87969,88438,88725,89422,89822,90541,91454,91838,91721,91354,91305
 "06045","Mendocino, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3731,3923,4063,4669,5077,5495,5987,6747,7350,8309,9099,9759,10380,10589,11338,12228,12745,13488,14181,14931,16261,16504,16749,17558,18319,19142,19654,21150,22508,23112,24167,25357,27937,28356,28854,29756,29986,32048,33868,34608,34567,37325,37871,37643,38318,40709,42381,43118,44239,45654,48013,53087,56047
 "06047","Merced, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",389912,434859,460187,517524,612840,685840,783346,878577,964456,1017192,1170290,1331927,1362937,1461800,1528943,1773556,1911489,2060070,2285290,2395633,2610501,2786599,2911291,3108931,3207165,3284026,3171229,3484054,3595354,3788007,3992325,4212595,4567828,4861686,5315905,5808967,6035083,6211082,6949306,6748518,6814285,7205819,7758558,7939819,8278545,9085921,9482446,9633119,9962542,10216183,10786869,12390335,13343412
 "06047","Merced, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",101255,105275,108032,110548,114436,117949,121456,126358,126591,128435,131775,135625,139632,142766,147657,151357,155939,158988,162956,167749,172988,179953,186091,189489,193137,197798,195291,194819,198312,202264,206734,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,256762,259518,261264,262597,265177,267299,268766,272480,275626,279263,281726,286461
 "06047","Merced, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3851,4131,4260,4681,5355,5815,6450,6953,7619,7920,8881,9821,9761,10239,10355,11718,12258,12957,14024,14281,15091,15485,15644,16407,16606,16603,16238,17884,18130,18728,19311,19847,20875,21574,22940,24492,24881,25316,27961,26936,27008,28064,29896,30390,31526,34264,35475,35842,36562,37065,38626,43980,46580
 "06049","Modoc, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31864,33740,37674,37523,50519,52886,54864,60622,56722,69921,82156,109879,98451,105804,113241,123241,112841,113519,123658,134532,144245,150947,157392,165684,179439,181704,182280,184991,192247,195283,208366,194463,211501,234870,240402,248030,262523,269150,288463,315764,334499,337681,345624,340256,349199,370572,386860,387883,384739,389173,405473,454188,470297
 "06049","Modoc, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",7261,7531,7728,7778,7700,7907,7853,7970,8231,8291,8443,8689,8988,9268,9467,9630,9499,9368,9350,9361,9662,9677,9779,9859,9700,9835,9761,9864,9861,9611,9509,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,9695,9499,9332,9118,9032,9007,8889,8787,8729,8768,8658,8661
 "06049","Modoc, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4388,4480,4875,4824,6561,6689,6986,7606,6891,8433,9731,12646,10954,11416,11962,12798,11879,12118,13225,14372,14929,15599,16095,16805,18499,18475,18674,18754,19496,20319,21913,20674,22620,25088,25303,25823,27446,27987,30285,33061,34677,34830,36385,36461,38298,41029,42951,43636,43785,44584,46245,52459,54301
 "06051","Mono, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15565,18289,21715,27353,33718,38351,45835,49681,50078,65992,78502,97473,109386,122308,123469,127699,134703,141653,147421,165863,182211,184067,183062,200639,215305,224067,231272,243938,264317,285700,313114,343483,397357,418477,460658,482500,522201,512747,518320,543945,532834,569938,585567,566447,567868,590876,600058,617495,691204,674100,733639,814141,849984
 "06051","Mono, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3780,4130,4529,5003,6447,6769,7141,7104,7335,7077,8192,8648,8916,9278,9225,8790,8806,8795,8916,9071,9514,10126,10044,10372,10917,11447,11649,11766,11998,12110,12589,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,14223,14256,14029,13642,13578,13398,13445,13391,13328,13250,13206,13247
 "06051","Mono, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4118,4428,4795,5467,5230,5666,6419,6993,6827,9325,9583,11271,12269,13183,13384,14528,15297,16106,16534,18285,19152,18178,18226,19344,19722,19574,19853,20732,22030,23592,24872,26583,30048,31220,34501,36115,38756,37310,37894,39240,38038,40072,41075,40377,41626,43517,44787,45927,51617,50578,55369,61649,64164
 "06053","Monterey, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1259691,1364273,1537357,1643539,1839849,2050129,2188715,2290452,2521308,2899743,3121866,3501254,4033236,4272966,4758124,5114759,5407320,5844931,6250071,6594700,6966343,7392202,7561106,8218602,8362212,8382230,8927730,9262660,10006265,10873191,11647384,12812956,12917703,13033532,13657901,14053421,14581522,15813411,16465641,16479129,16424781,17060716,17489872,18348248,19140149,20283412,21926157,22602564,23097874,23317005,24787069,26794525,27747802
 "06053","Monterey, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",255128,248235,252730,254140,255261,263534,270976,275942,281545,284129,286882,292406,299677,306241,313698,321458,328102,335849,341268,345947,349872,357535,364805,371860,371002,352363,355486,362215,376794,387889,396267,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,416532,421259,425824,428490,431044,433979,438004,439112,439404,440163,438500,437325
 "06053","Monterey, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4937,5496,6083,6467,7208,7779,8077,8300,8955,10206,10882,11974,13459,13953,15168,15911,16481,17403,18314,19063,19911,20675,20726,22101,22540,23789,25114,25572,26556,28032,29393,31795,31732,31869,33334,34383,35991,39353,40921,40587,40035,40959,41518,43089,44669,47056,50524,51604,52601,53065,56313,61105,63449
 "06055","Napa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",357485,381497,416801,448277,508478,578763,674732,745064,827296,943170,1055709,1166017,1326710,1427348,1519183,1658126,1788105,1920241,2007907,2184268,2416052,2568559,2715890,2842249,2959035,3089928,3225147,3460698,3717064,3977695,4355769,4796165,5205625,5288779,5353383,5427080,5745111,6098894,6344502,6384619,6225337,6393827,6671541,7388952,7691668,8346524,9013122,9530051,9720839,9727067,10349607,11372288,12341466
 "06055","Napa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",76688,79562,81771,83208,87718,90759,93627,94964,96521,96437,98789,99331,99662,101178,101549,101902,103014,104237,105010,106130,108662,111284,112233,114322,114972,116077,116697,117996,119808,121583,123026,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,136791,137865,138861,140041,141014,141613,141789,140984,139937,139146,137608,136207
 "06055","Napa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4662,4795,5097,5387,5797,6377,7207,7846,8571,9780,10687,11739,13312,14107,14960,16272,17358,18422,19121,20581,22235,23081,24199,24862,25737,26620,27637,29329,31025,32716,35405,38503,41048,41080,41136,41623,44064,46401,47853,47613,46018,46742,48392,53211,54924,59189,63646,67213,68950,69510,74379,82643,90608
 "06057","Nevada, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",97001,108573,122940,140245,162492,188706,223253,265836,311089,371055,429438,509274,578703,620204,690867,805150,878652,971963,1054609,1187779,1334575,1446166,1524125,1621969,1686557,1781977,1875932,1992054,2196255,2408211,2576758,2923221,3181691,3219796,3370332,3670987,3822261,4142506,4350332,4324041,4281499,4478953,4683506,4830889,4908213,5202450,5390503,5647546,5744967,5865134,6256190,6709554,7137821
 "06057","Nevada, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",25264,26593,27421,28669,31307,32975,34629,37383,40537,44623,48351,52568,56160,59087,60782,62829,65287,67718,70556,73369,76133,79172,81288,82920,83887,85185,86523,87861,89137,90170,90899,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,98856,99021,98714,98761,99649,100009,100485,101226,101530,101962,102199,103487
 "06057","Nevada, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3839,4083,4483,4892,5190,5723,6447,7111,7674,8315,8882,9688,10305,10496,11366,12815,13458,14353,14947,16189,17530,18266,18750,19561,20105,20919,21681,22673,24639,26707,28347,31596,33951,34019,35252,38037,39303,42466,44485,44033,43427,45308,47298,48938,49698,52208,53900,56203,56754,57767,61358,65652,68973
 "06059","Orange, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419698,25861219,29498713,31303477,33748741,37900312,41259710,44494951,48259164,52814807,56878330,60264357,62297569,65961473,67381872,69577422,73434653,78878757,85557767,92911626,99462884,109056375,113236454,115705093,122345010,129684436,138519914,148803124,149852267,147242643,139260724,149629013,155868197,168975217,168569870,176537358,190154400,197231809,204911755,212806994,224716133,241153117,256700438
 "06059","Orange, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3184101,3167809
 "06059","Orange, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13275,14714,15300,16156,17849,18997,19963,21153,22637,23859,24913,25400,26416,26605,27109,28204,29833,31580,33504,35321,38205,39244,39785,41765,44085,47115,50747,51116,49785,46620,49599,51069,54823,54197,56344,60228,62135,64321,66735,70539,75737,81034
 "06061","Placer, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",321996,358492,397642,444821,505118,581453,665262,768843,872858,1032587,1198669,1384860,1556570,1683448,1866136,2113819,2340110,2571085,2822778,3154563,3541921,3886679,4210579,4526176,4780887,5226438,5769344,6345298,7001063,7745495,8646200,9482624,10712853,11109454,12016368,13122773,13946156,15011873,15539829,16198698,15866537,16689297,17722077,18953589,19543115,20675618,22167603,23334579,24524994,25750860,27430466,29724947,31684782
 "06061","Placer, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",75693,78215,80905,83119,85493,88238,90854,95382,99562,107673,112758,118332,122444,126216,128535,132575,136789,141432,147363,153610,162658,175477,181611,187268,192655,199290,207071,214726,222168,231179,240928,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,350063,356610,360792,366182,370255,374135,380580,387160,394841,401317,405741,412300
 "06061","Placer, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4254,4583,4915,5352,5908,6590,7322,8061,8767,9590,10630,11703,12713,13338,14519,15944,17107,18179,19155,20536,21775,22149,23185,24170,24816,26225,27862,29551,31512,33504,35887,37778,40638,40120,41332,43332,44590,46630,47230,47986,46149,47675,49696,52533,53370,55842,59250,61313,63346,65218,68351,73261,76849
 "06063","Plumas, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",50151,52439,55950,61313,69600,78435,90276,100414,112843,132002,149568,167947,185383,190957,210907,227825,242343,256852,271517,287599,318085,334710,357394,380611,400985,409561,417761,451113,485430,494242,516372,539443,602909,612716,646554,694416,693817,728073,743810,761757,753447,779485,781277,769570,783271,821818,842680,868058,892050,936404,994458,1071187,1139001
 "06063","Plumas, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11637,11778,12125,12509,13139,13577,13991,14185,15077,15760,16701,17440,17808,18176,18024,18154,18606,18693,19014,19316,19410,19826,20167,20736,20931,20786,20823,20780,20853,20831,20921,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,19935,19819,19556,19149,18952,18827,19166,19231,19464,19772,19769,19915
 "06063","Plumas, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4310,4452,4614,4902,5297,5777,6452,7079,7484,8376,8956,9630,10410,10506,11701,12550,13025,13741,14280,14889,16388,16882,17722,18355,19157,19704,20062,21709,23279,23726,24682,25992,28958,29364,30851,33067,33023,35068,35990,37323,37357,39101,39421,39352,40904,43363,44759,45292,46386,48110,50296,54185,57193
 "06065","Riverside, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1862159,2083357,2279187,2547631,2870842,3218118,3655601,4150973,4702798,5477054,6196816,7162583,8255880,8973749,9906355,11298179,12620279,14127666,15670115,17724942,20109482,22317294,23056726,24204819,25031722,25797458,26843027,28296188,30054214,32844459,35126410,38087344,41383374,43851365,47712339,51907869,56606529,62182407,65615218,66862826,65663326,68084905,72170010,74093810,76470084,80218739,85315532,89569727,93043247,97494023,104149463,115570337,125820553
 "06065","Riverside, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",450477,460682,477557,493221,497917,515875,528632,548029,577957,611852,640044,669473,693249,719842,746898,783202,825685,871209,930059,995977,1084568,1193156,1246326,1286364,1315090,1346651,1373034,1393732,1423934,1461916,1507912,1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,2200098,2226411,2247232,2266357,2289151,2312059,2338982,2366885,2390121,2405570,2422764,2458395
 "06065","Riverside, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4134,4522,4773,5165,5766,6238,6915,7574,8137,8952,9682,10699,11909,12466,13263,14426,15285,16216,16849,17797,18541,18704,18500,18816,19034,19157,19550,20302,21106,22467,23295,24431,25598,25991,26931,27959,29303,30900,31619,31693,30588,30946,32415,32971,33741,35043,36900,38294,39310,40790,43295,47702,51180
 "06067","Sacramento, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2732854,3052926,3339607,3659320,3998873,4463517,4994713,5537299,6145803,7013224,7919180,8801458,9737978,10497916,11346428,12680000,14084445,15353717,16576794,18021793,19840503,21680967,22878059,24149993,24530951,25624032,27129856,28024333,29539530,31680593,33801907,36899255,40067389,41749242,44134342,46348308,48110366,50880943,53181367,54671667,53441734,54558002,57132401,59258490,61376100,65106762,69706561,72142550,75107692,78819492,83515309,91987475,98241828
 "06067","Sacramento, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",618673,637288,653795,669351,669930,683553,697353,711755,727571,748281,768490,788275,806297,832148,852626,869581,891113,916044,948523,979279,1008753,1075819,1107559,1121523,1127608,1130094,1140825,1155635,1169855,1186617,1206659,1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,1421965,1436671,1450201,1465129,1485221,1506558,1527104,1546422,1560721,1575602,1586241,1588921
 "06067","Sacramento, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4417,4790,5108,5467,5969,6530,7162,7780,8447,9372,10305,11165,12077,12615,13308,14582,15805,16761,17476,18403,19668,20153,20656,21533,21755,22674,23781,24250,25251,26698,28013,30001,31642,32088,33220,34359,35354,37151,38505,39207,37940,38368,39767,40862,41891,43836,46269,47241,48569,50502,53005,57991,61829
 "06069","San Benito, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",76759,76426,82790,93200,110675,119785,129632,139362,163607,182927,204610,247697,272003,298892,330883,374797,405556,449223,490224,539333,597806,650233,671811,717687,780398,836636,925313,1012952,1145755,1266128,1385198,1571721,1518011,1527703,1604655,1675655,1733939,1852266,1992155,1999004,1957298,1991175,2079534,2158752,2267628,2363239,2598194,2774534,2957907,3119531,3435561,3971313,4591936
 "06069","San Benito, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",18103,18249,18673,19087,19658,20202,20916,21870,22757,23638,24319,25194,25905,26916,27758,28959,30392,31649,32952,34374,36137,36835,37329,38321,39495,40786,42334,44169,46707,49071,51467,53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,55553,56140,56788,57443,58053,58477,59515,60478,61751,63188,64507,66677
 "06069","San Benito, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4240,4188,4434,4883,5630,5929,6198,6372,7189,7739,8414,9832,10500,11105,11920,12942,13344,14194,14877,15690,16543,17653,17997,18728,19759,20513,21857,22934,24531,25802,26914,29224,27780,27748,29071,30550,31730,34223,36843,36836,35956,35843,37042,38014,39476,40708,44431,46619,48909,50518,54370,61564,68868
 "06071","San Bernardino, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2541741,2827361,3047138,3400374,3743575,4207615,4758535,5355557,5994319,6889969,7823431,9005541,10304066,11079952,12141951,13551047,15134028,16727342,18523952,20359750,22546611,24851012,25845047,27061878,27600340,28308946,29258132,30480040,32238233,34646404,36613798,39033879,41725134,43884259,46927107,50672642,53690193,57077496,59640077,60087777,58268275,59989765,63359399,64930594,66581008,70425945,74773589,77868801,80514585,83915091,89559909,99313293,108623799
 "06071","San Bernardino, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",671688,682857,693604,696255,704268,713868,719939,734488,769670,823881,856803,902956,932934,966760,996565,1027817,1072242,1124169,1192197,1271189,1352911,1437315,1492824,1534977,1549427,1558854,1576773,1596584,1618438,1646304,1681601,1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,2040641,2059780,2071613,2079963,2095533,2110852,2126539,2144961,2160049,2170992,2182740,2194710
 "06071","San Bernardino, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3784,4140,4393,4884,5316,5894,6610,7292,7788,8363,9131,9973,11045,11461,12184,13184,14114,14880,15538,16016,16665,17290,17313,17630,17813,18160,18556,19091,19919,21045,21773,22720,23698,24383,25419,26683,27619,28913,29937,29988,28932,29398,30760,31343,32011,33608,35423,36618,37537,38849,41253,45499,49493
 "06073","San Diego, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6339971,7021079,7542007,8389601,9259626,10346671,11572053,12917968,14430966,16558724,18772293,21673970,24710161,26771408,28899057,32418187,35569628,38773644,41871173,46018825,50000601,52763858,55032226,57832374,59175096,60899000,63689849,67919229,72640103,80340377,87435203,95759629,98500708,102424167,108072559,116712463,122069367,128619711,132558872,135573433,130932057,135927888,144239664,151467749,156734939,166466694,176125940,181952012,189127670,196316898,206231115,223652407,238691713
 "06073","San Diego, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1340989,1365976,1391925,1433126,1499594,1540667,1616907,1642781,1715527,1775410,1827602,1875620,1927018,1972354,2018133,2066419,2126090,2196834,2275309,2364284,2444380,2512365,2553122,2593126,2599776,2614685,2623697,2651549,2692600,2736720,2789593,2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,3102436,3133069,3167554,3199707,3234658,3262566,3283586,3293575,3303463,3297959,3297252,3286069
 "06073","San Diego, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4728,5140,5418,5854,6175,6716,7157,7863,8412,9327,10272,11556,12823,13573,14320,15688,16730,17650,18402,19464,20455,21002,21555,22302,22762,23291,24275,25615,26978,29356,31343,33869,34325,35314,37078,39834,41543,43640,44546,44860,42771,43813,46038,47819,48984,51463,53984,55413,57423,59428,62533,67830,72637
 "06075","San Francisco, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4303674,4650734,4930322,5283807,5615079,6114566,6678535,7180905,7805609,8565004,9402800,10356914,11676095,12458761,13555431,14897365,15777448,16827295,17495054,19447280,20227045,21213180,22633402,23563588,24191204,24863059,27066266,29065413,30765854,34892823,38300048,44368291,44413957,42738851,42740391,45369340,49922632,55608852,58639892,59533888,57454382,60976104,65409641,72728986,74545726,83419403,91423470,98509605,104872084,113647998,115034972,122788484,131043138
 "06075","San Francisco, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",726294,712874,708077,700199,699954,698372,686069,686114,679424,677663,675835,680830,686915,695546,704809,713196,727977,737396,736499,730471,725889,723496,729708,734861,740277,742316,746386,753934,762953,770262,774716,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,805590,816054,829624,840663,852202,864846,873283,879742,882277,881739,870014,815201
 "06075","San Francisco, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5926,6524,6963,7546,8022,8755,9734,10466,11489,12639,13913,15212,16998,17912,19233,20888,21673,22820,23754,26623,27865,29320,31017,32065,32679,33494,36263,38552,40325,45300,49438,57037,56878,55309,55785,59593,65428,72346,75307,75250,71646,75691,80154,87665,88675,97887,105711,112804,119208,128812,130464,141134,160749
 "06077","San Joaquin, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1186141,1278250,1390528,1528236,1704543,1936888,2130146,2320183,2556555,2868968,3245393,3690850,4075817,4347135,4579513,5152677,5582735,6027045,6557228,7080526,7667579,8146661,8542060,9149223,9543968,9904668,10231273,10809337,11536532,12235426,13093852,14255445,15555713,16248804,17343135,18490766,19562448,20684485,21458733,21548167,21601380,22288884,22958164,23706455,24670582,26193811,28223664,29646061,30921359,32456416,35189770,40404026,45614264
 "06077","San Joaquin, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",284769,291488,296167,300221,303896,306658,309750,317671,320840,332685,338384,350304,361462,373479,385721,398731,416042,430786,445726,457138,466863,484131,492694,500278,506385,512212,517923,524657,531908,540257,552424,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,687381,695611,701892,705382,716006,727828,739814,751714,762314,772611,780517,789410
 "06077","San Joaquin, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4165,4385,4695,5090,5609,6316,6877,7304,7968,8624,9591,10536,11276,11640,11873,12923,13419,13991,14711,15489,16424,16827,17337,18288,18847,19337,19754,20603,21689,22647,23703,25103,26312,26679,27670,28762,29776,31207,32120,32080,31873,32426,33004,33775,34975,36583,38778,40072,41134,42576,45547,51766,57783
 "06079","San Luis Obispo, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",370319,410874,455874,513809,581196,673901,767457,874841,975928,1152991,1312402,1486564,1672093,1796170,2166411,2382952,2551924,2778742,3019418,3313775,3667188,3833545,4009496,4249317,4403078,4571999,4835554,5211367,5670563,6066905,6468199,7011298,7659871,7939655,8266467,8801774,9183021,9918182,10517099,10572271,10444391,10803268,11463052,12082424,12477912,13297837,14202463,14591004,15331154,15851762,16904030,17964706,18863123
 "06079","San Luis Obispo, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",102648,106280,109301,115484,119843,125535,126456,134260,138635,145914,150850,156786,161886,166563,171365,177566,185248,192497,199345,204261,213314,218276,219895,221848,223370,226228,229370,232976,236601,240020,243480,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,269798,271044,274152,275681,278231,280088,281825,282406,283176,282646,282231,283159
 "06079","San Luis Obispo, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3608,3866,4171,4449,4850,5368,6069,6516,7040,7902,8700,9481,10329,10784,12642,13420,13776,14435,15147,16223,17192,17563,18234,19154,19712,20210,21082,22369,23967,25277,26566,28290,30461,31372,32459,34269,35508,38074,40024,39692,38951,40042,42292,44072,45262,47794,50707,51773,54288,55978,59806,63652,66617
 "06081","San Mateo, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3123287,3396500,3614125,3903300,4242250,4686917,5203716,5657978,6173345,6914238,7736953,8793648,10013704,10779316,11637853,13005025,13808024,14614283,15410796,16788612,18167272,19059475,19840936,20998255,21987267,22916839,24645054,27561377,28819204,32365280,37115539,43387478,41385877,38485622,38762224,41500918,44864611,49840742,52769774,52739252,50822072,52791686,57604821,64531912,65049112,70120954,77525653,81500186,89148892,96226057,100799226,108469755,118419753
