GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010736,10074627,11169055,12199942,13127572,14497720,15512228,16675650,17728819,19201877,21131268,22256325,22968170,24390688,25155585,25981838,26894687,27780372,29169330,30615334,32110020,34472227,35942313,36353704,37772497,39652679,40671689,42844310,44702814,47244482,47630860,49635668,51312261,53010541,53977376,55755293,58434216,59529997,62595193,64244100,67621770,72846849,77254228
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3815801,4235556,4672012,5034933,5427032,5897772,6403147,6851514,7440789,8135072,8951457,10015130,11113146,12147022,13085540,14449742,15455946,16610861,17658448,19141113,21056012,22179763,22907451,24318155,25078357,25921162,26837724,27691462,29132536,30534261,32020061,34382978,35833558,36291308,37693048,39554189,40578256,42773994,44616299,47143063,47567256,49512476,51151733,52843949,53768676,55543923,58309594,59426011,62450999,64146019,67456092,72699359,77104852
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",45803,44671,43737,41301,48124,42768,38362,44938,32848,43475,59279,59497,55909,52920,42032,47978,56282,64789,70371,60764,75256,76562,60719,72533,77228,60676,56963,88910,36794,81073,89959,89249,108755,62396,79449,98490,93433,70316,86515,101419,63604,123192,160528,166592,208700,211370,124622,103986,144194,98081,165678,147490,149376
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1169567,1172483,1176204,1179751,1182223,1184250,1186056,1190292,1192517,1191021,1189485,1190312
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9598,10635,11599,12420,13681,14591,15609,16533,17744,19391,20237,20726,21864,22445,23113,23915,24761,26102,27438,28764,30799,32008,32196,33180,34614,35342,37025,38518,40582,40825,42439,43764,45069,45753,47161,49343,50192,52588,53873,56776,61242,64903
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",3200193,3505329,3848333,4131960,4442328,4730542,4928204,5311132,5749345,6383295,7015818,7573072,8202391,8777144,9424802,10525720,11384714,12365393,13332351,14588120,15695490,16587858,17022218,18103331,18749293,19378505,19697798,20279693,21395635,22449233,23985681,26077084,27162123,27851228,28852390,30104384,30687743,32052534,32970727,34157140,34681777,35887582,36464741,37581416,38999506,39824870,41248727,42196751,43746124,45009498,46813777,47698613,51382303
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",251250,269499,304892,341914,422907,465304,478087,529553,573716,652508,739825,785785,902361,966818,1043217,1185652,1303441,1431360,1523049,1709454,1805766,1830581,1935164,2019689,2099709,2204422,2235604,2249576,2339299,2441797,2538896,2740287,2891698,3001602,3137401,3271910,3386404,3534091,3612119,3789147,3799964,3848652,3535547,3611439,4224441,4400995,4596274,4709457,4912814,4996758,5168033,5248900,5668791
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",115556,124348,139633,153675,189446,209581,216623,232532,250172,281431,322212,351117,408160,442137,472618,524858,595589,659717,704713,793995,852924,857002,921082,949520,986193,1038901,1061614,1056489,1105990,1146978,1210276,1291128,1357088,1415194,1481669,1544567,1608108,1687053,1725889,1807617,1855387,1869288,1508945,1525704,2042045,2111522,2204181,2290698,2408673,2507026,2622931,2657822,2832084
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1534610,1586408,1655732,1727343,1778296,1847038,1886230,1981530,1944577,1979364,2026602,2085735,2182396,2289473,2392093,2418759,2504141,2489732,2545102,2591078,2836707
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-22777,-14126,-12544,-3324,3100,2073,2682,-13987,-26077,-35832,-43597,-43058,-33997,-33272,-30513,-28138,-20360,-14617,-11090,-3924,4379,14103,4069,-3207,-22968,-41638,-36766,-44755,-54092,-45453,-46746,-68617,-42404,-5073,29461,69066,132079,199213,279814,318414,240719,254213,249556,231259,177428,187304,171437,152573,160850,211194,231888,202311,213284
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",2926166,3221704,3530897,3786722,4022521,4267311,4452799,4767592,5149552,5694955,6232396,6744229,7266033,7777054,8351072,9311930,10060913,10919416,11798212,12874742,13894103,14771380,15091123,16080435,16626616,17132445,17425428,17985362,19002244,19961983,21400039,23268180,24228021,24844553,25744450,26901540,27433418,28717656,29638422,30686407,31122532,32293143,33178750,34201236,34952493,35611179,36823890,37639867,38994160,40223934,41877632,42652024,45926796
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",584766,647026,701514,757178,844168,954373,1040790,1097036,1210619,1302415,1483054,1806272,2187931,2524826,2743107,3096962,3239915,3449023,3586521,3832103,4552070,4573971,4631138,4637657,4672807,4826257,5209788,5354795,5667276,5869231,5774813,6146668,6266281,5648137,5957701,6342468,6567636,7040799,7683853,8245512,7343778,7559805,7980360,8761878,8845007,9702266,10494202,10572186,11401142,12028262,12878499,12814539,13406032
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",350672,411497,483338,532334,608467,718856,947920,1031824,1113466,1181177,1295286,1524126,1715091,1898062,2033393,2088828,2211400,2307211,2344086,2495032,2685095,2910974,3245909,3672596,3856162,4023136,4259471,4440215,4499810,4784120,4935168,5057379,5448011,5861014,6070346,6408671,6670635,7085855,7380539,8312563,9164550,9782720,10153151,10047427,10179876,10441848,11116124,11317944,12199891,11991904,12865639,17380286,17921400
